"biotypes"	"length"	"gc"
"ENSMUSG00000083384"	"pseudogene"	902	35.03
"ENSMUSG00000052962"	"protein_coding"	3715	43.58
"ENSMUSG00000052961"	"pseudogene"	336	67.86
"ENSMUSG00000068523"	"protein_coding"	1192	47.06
"ENSMUSG00000068522"	"protein_coding"	1346	51.19
"ENSMUSG00000046442"	"protein_coding"	3605	47.56
"ENSMUSG00000065107"	"rRNA"	118	52.54
"ENSMUSG00000065104"	"snRNA"	110	45.45
"ENSMUSG00000020053"	"protein_coding"	1963	47.67
"ENSMUSG00000020052"	"protein_coding"	2481	54.33
"ENSMUSG00000064653"	"snRNA"	107	46.73
"ENSMUSG00000065105"	"snoRNA"	138	42.03
"ENSMUSG00000020057"	"protein_coding"	1980	47.97
"ENSMUSG00000020056"	"protein_coding"	975	48.29
"ENSMUSG00000070375"	"protein_coding"	1101	49.86
"ENSMUSG00000063600"	"protein_coding"	1334	49.63
"ENSMUSG00000064659"	"snRNA"	110	40.00
"ENSMUSG00000065102"	"rRNA"	111	54.05
"ENSMUSG00000020059"	"protein_coding"	1078	35.73
"ENSMUSG00000070378"	"protein_coding"	942	48.83
"ENSMUSG00000065100"	"snoRNA"	148	59.46
"ENSMUSG00000021986"	"protein_coding"	2718	58.02
"ENSMUSG00000021987"	"protein_coding"	3836	43.53
"ENSMUSG00000021982"	"protein_coding"	1606	44.88
"ENSMUSG00000021983"	"protein_coding"	1375	52.39
"ENSMUSG00000039853"	"protein_coding"	1269	54.52
"ENSMUSG00000021981"	"protein_coding"	3037	43.43
"ENSMUSG00000054693"	"protein_coding"	2190	46.02
"ENSMUSG00000054690"	"protein_coding"	2488	42.45
"ENSMUSG00000082601"	"pseudogene"	457	44.20
"ENSMUSG00000096199"	"protein_coding"	4013	48.07
"ENSMUSG00000096198"	"snRNA"	100	38.00
"ENSMUSG00000096193"	"miRNA"	110	55.45
"ENSMUSG00000096192"	"protein_coding"	1257	58.55
"ENSMUSG00000096191"	"snoRNA"	72	40.28
"ENSMUSG00000096190"	"snoRNA"	94	44.68
"ENSMUSG00000033282"	"protein_coding"	3992	42.43
"ENSMUSG00000096196"	"miRNA"	121	49.59
"ENSMUSG00000096195"	"snRNA"	107	43.93
"ENSMUSG00000096194"	"protein_coding"	1949	38.84
"ENSMUSG00000085593"	"antisense"	1084	48.34
"ENSMUSG00000085592"	"antisense"	574	40.77
"ENSMUSG00000032883"	"protein_coding"	1596	42.48
"ENSMUSG00000090939"	"pseudogene"	432	52.78
"ENSMUSG00000085591"	"lincRNA"	4722	35.11
"ENSMUSG00000050107"	"protein_coding"	2810	51.42
"ENSMUSG00000032889"	"protein_coding"	764	51.83
"ENSMUSG00000090936"	"lincRNA"	1555	48.81
"ENSMUSG00000090935"	"protein_coding"	2112	41.96
"ENSMUSG00000054520"	"protein_coding"	2028	55.67
"ENSMUSG00000054523"	"protein_coding"	945	42.22
"ENSMUSG00000030956"	"protein_coding"	2483	55.50
"ENSMUSG00000054526"	"protein_coding"	1025	46.54
"ENSMUSG00000030954"	"protein_coding"	1978	48.99
"ENSMUSG00000050102"	"protein_coding"	1781	37.56
"ENSMUSG00000000223"	"protein_coding"	3955	51.72
"ENSMUSG00000096449"	"protein_coding"	516	40.89
"ENSMUSG00000096448"	"retrotransposed"	357	48.46
"ENSMUSG00000096445"	"protein_coding"	617	46.84
"ENSMUSG00000096444"	"snRNA"	107	34.58
"ENSMUSG00000019158"	"protein_coding"	814	64.25
"ENSMUSG00000096446"	"protein_coding"	1761	37.71
"ENSMUSG00000096441"	"miRNA"	110	57.27
"ENSMUSG00000096440"	"pseudogene"	382	43.72
"ENSMUSG00000096443"	"protein_coding"	627	44.82
"ENSMUSG00000096442"	"protein_coding"	1035	45.41
"ENSMUSG00000036502"	"protein_coding"	2546	45.45
"ENSMUSG00000033751"	"protein_coding"	2494	54.85
"ENSMUSG00000036500"	"protein_coding"	1680	57.50
"ENSMUSG00000036501"	"protein_coding"	3343	46.40
"ENSMUSG00000085599"	"antisense"	1231	45.90
"ENSMUSG00000036504"	"protein_coding"	796	56.00
"ENSMUSG00000094633"	"protein_coding"	684	46.49
"ENSMUSG00000062554"	"pseudogene"	628	52.54
"ENSMUSG00000030484"	"protein_coding"	935	61.93
"ENSMUSG00000062556"	"protein_coding"	418	43.78
"ENSMUSG00000030486"	"protein_coding"	1929	51.37
"ENSMUSG00000062551"	"protein_coding"	654	41.65
"ENSMUSG00000030483"	"protein_coding"	1412	49.82
"ENSMUSG00000062553"	"protein_coding"	924	47.73
"ENSMUSG00000037458"	"protein_coding"	2375	42.89
"ENSMUSG00000081427"	"pseudogene"	922	41.76
"ENSMUSG00000040591"	"protein_coding"	1135	50.33
"ENSMUSG00000086430"	"antisense"	1065	44.32
"ENSMUSG00000073559"	"retrotransposed"	432	50.46
"ENSMUSG00000027913"	"protein_coding"	589	59.06
"ENSMUSG00000027912"	"protein_coding"	877	57.13
"ENSMUSG00000073551"	"protein_coding"	795	41.01
"ENSMUSG00000073557"	"protein_coding"	3006	50.97
"ENSMUSG00000073554"	"pseudogene"	639	55.71
"ENSMUSG00000073555"	"protein_coding"	2645	40.98
"ENSMUSG00000086437"	"lincRNA"	280	55.00
"ENSMUSG00000086436"	"pseudogene"	286	45.38
"ENSMUSG00000026068"	"protein_coding"	2349	45.10
"ENSMUSG00000026069"	"protein_coding"	2921	43.99
"ENSMUSG00000003421"	"protein_coding"	948	58.88
"ENSMUSG00000003420"	"protein_coding"	1738	55.81
"ENSMUSG00000003423"	"protein_coding"	678	57.38
"ENSMUSG00000026062"	"protein_coding"	3493	51.04
"ENSMUSG00000026063"	"protein_coding"	1449	36.78
"ENSMUSG00000003429"	"protein_coding"	602	52.33
"ENSMUSG00000026065"	"protein_coding"	3822	45.92
"ENSMUSG00000030220"	"protein_coding"	957	49.94
"ENSMUSG00000030223"	"protein_coding"	5771	48.82
"ENSMUSG00000030222"	"protein_coding"	1464	49.96
"ENSMUSG00000069601"	"protein_coding"	5563	51.43
"ENSMUSG00000030224"	"protein_coding"	1162	45.24
"ENSMUSG00000030226"	"protein_coding"	1691	46.49
"ENSMUSG00000030228"	"protein_coding"	3007	44.33
"ENSMUSG00000069609"	"protein_coding"	852	51.17
"ENSMUSG00000082089"	"pseudogene"	168	50.60
"ENSMUSG00000081428"	"pseudogene"	521	41.65
"ENSMUSG00000029044"	"protein_coding"	762	43.70
"ENSMUSG00000038034"	"protein_coding"	1841	58.26
"ENSMUSG00000049502"	"protein_coding"	3978	48.42
"ENSMUSG00000038037"	"protein_coding"	1220	63.61
"ENSMUSG00000049504"	"protein_coding"	2995	49.93
"ENSMUSG00000049506"	"protein_coding"	2221	56.42
"ENSMUSG00000049507"	"protein_coding"	1662	48.50
"ENSMUSG00000038039"	"protein_coding"	2660	42.18
"ENSMUSG00000029048"	"protein_coding"	1257	52.35
"ENSMUSG00000093040"	"miRNA"	126	57.94
"ENSMUSG00000047123"	"protein_coding"	2992	56.42
"ENSMUSG00000076292"	"miRNA"	106	41.51
"ENSMUSG00000063382"	"protein_coding"	5304	62.03
"ENSMUSG00000063383"	"protein_coding"	2872	38.51
"ENSMUSG00000076009"	"miRNA"	75	57.33
"ENSMUSG00000063386"	"protein_coding"	936	47.54
"ENSMUSG00000022362"	"protein_coding"	772	55.44
"ENSMUSG00000063388"	"pseudogene"	1227	39.93
"ENSMUSG00000022360"	"protein_coding"	5683	41.49
"ENSMUSG00000022367"	"protein_coding"	4237	40.59
"ENSMUSG00000022366"	"protein_coding"	1657	40.72
"ENSMUSG00000022365"	"protein_coding"	3145	49.19
"ENSMUSG00000022364"	"protein_coding"	2556	45.49
"ENSMUSG00000006517"	"protein_coding"	1761	59.34
"ENSMUSG00000046215"	"protein_coding"	1072	64.27
"ENSMUSG00000046210"	"protein_coding"	1065	45.07
"ENSMUSG00000048677"	"protein_coding"	2909	53.56
"ENSMUSG00000046219"	"lincRNA"	2038	56.08
"ENSMUSG00000068959"	"protein_coding"	5969	42.67
"ENSMUSG00000068950"	"protein_coding"	921	44.95
"ENSMUSG00000068957"	"protein_coding"	1364	46.77
"ENSMUSG00000077668"	"snRNA"	108	37.04
"ENSMUSG00000089901"	"protein_coding"	2721	44.62
"ENSMUSG00000089902"	"processed_transcript"	480	28.12
"ENSMUSG00000089904"	"pseudogene"	184	54.35
"ENSMUSG00000089905"	"pseudogene"	423	36.88
"ENSMUSG00000089906"	"pseudogene"	345	45.51
"ENSMUSG00000089907"	"processed_transcript"	1568	43.57
"ENSMUSG00000089908"	"pseudogene"	532	45.86
"ENSMUSG00000077661"	"rRNA"	123	50.41
"ENSMUSG00000077663"	"snoRNA"	132	50.00
"ENSMUSG00000077664"	"snoRNA"	127	42.52
"ENSMUSG00000077666"	"snRNA"	185	47.03
"ENSMUSG00000077667"	"snoRNA"	114	40.35
"ENSMUSG00000036578"	"protein_coding"	684	58.92
"ENSMUSG00000045746"	"protein_coding"	2472	42.80
"ENSMUSG00000045744"	"protein_coding"	849	57.93
"ENSMUSG00000088055"	"snoRNA"	68	51.47
"ENSMUSG00000088054"	"miRNA"	68	54.41
"ENSMUSG00000088057"	"snRNA"	108	38.89
"ENSMUSG00000034833"	"protein_coding"	1694	46.52
"ENSMUSG00000088051"	"snRNA"	151	44.37
"ENSMUSG00000088050"	"snRNA"	60	36.67
"ENSMUSG00000088052"	"rRNA"	101	47.52
"ENSMUSG00000034839"	"protein_coding"	2440	57.54
"ENSMUSG00000043592"	"protein_coding"	1350	54.94
"ENSMUSG00000088059"	"snoRNA"	141	51.06
"ENSMUSG00000088058"	"snoRNA"	127	47.24
"ENSMUSG00000052909"	"protein_coding"	1113	39.08
"ENSMUSG00000071847"	"protein_coding"	2343	58.14
"ENSMUSG00000090471"	"protein_coding"	714	63.73
"ENSMUSG00000006276"	"protein_coding"	3141	53.84
"ENSMUSG00000006273"	"protein_coding"	1309	47.15
"ENSMUSG00000006270"	"protein_coding"	1077	62.96
"ENSMUSG00000076294"	"miRNA"	96	46.88
"ENSMUSG00000042248"	"protein_coding"	1824	42.98
"ENSMUSG00000042249"	"protein_coding"	6537	49.78
"ENSMUSG00000045294"	"protein_coding"	2697	48.20
"ENSMUSG00000042244"	"protein_coding"	1107	49.23
"ENSMUSG00000042243"	"protein_coding"	1342	49.18
"ENSMUSG00000042240"	"protein_coding"	724	56.79
"ENSMUSG00000007891"	"protein_coding"	1359	55.23
"ENSMUSG00000007892"	"protein_coding"	495	57.37
"ENSMUSG00000096542"	"protein_coding"	684	45.76
"ENSMUSG00000024039"	"protein_coding"	1240	56.13
"ENSMUSG00000024038"	"protein_coding"	1029	56.67
"ENSMUSG00000074311"	"protein_coding"	823	42.37
"ENSMUSG00000079546"	"protein_coding"	96	33.33
"ENSMUSG00000024033"	"protein_coding"	1164	53.09
"ENSMUSG00000079544"	"protein_coding"	126	34.92
"ENSMUSG00000079543"	"IG_V_gene"	330	47.88
"ENSMUSG00000079542"	"protein_coding"	195	40.00
"ENSMUSG00000024037"	"protein_coding"	1640	55.71
"ENSMUSG00000024036"	"protein_coding"	3141	55.68
"ENSMUSG00000044165"	"protein_coding"	1367	43.57
"ENSMUSG00000044164"	"protein_coding"	2000	50.23
"ENSMUSG00000044167"	"protein_coding"	5552	50.25
"ENSMUSG00000072437"	"protein_coding"	3927	49.61
"ENSMUSG00000001802"	"protein_coding"	2316	59.30
"ENSMUSG00000001804"	"protein_coding"	3478	47.30
"ENSMUSG00000041534"	"protein_coding"	5276	55.71
"ENSMUSG00000041536"	"protein_coding"	1236	46.93
"ENSMUSG00000041530"	"protein_coding"	2752	49.60
"ENSMUSG00000041538"	"protein_coding"	1630	48.40
"ENSMUSG00000081593"	"pseudogene"	1963	54.10
"ENSMUSG00000081592"	"pseudogene"	160	43.75
"ENSMUSG00000081591"	"pseudogene"	496	42.94
"ENSMUSG00000081590"	"pseudogene"	408	38.24
"ENSMUSG00000081597"	"pseudogene"	536	45.52
"ENSMUSG00000081596"	"pseudogene"	1168	45.38
"ENSMUSG00000081595"	"pseudogene"	748	48.26
"ENSMUSG00000081594"	"pseudogene"	445	58.20
"ENSMUSG00000081599"	"pseudogene"	1695	36.46
"ENSMUSG00000081598"	"pseudogene"	618	42.07
"ENSMUSG00000086074"	"antisense"	268	46.53
"ENSMUSG00000040669"	"protein_coding"	2294	55.85
"ENSMUSG00000040663"	"protein_coding"	1980	57.11
"ENSMUSG00000040660"	"protein_coding"	1876	48.61
"ENSMUSG00000040661"	"protein_coding"	9324	51.16
"ENSMUSG00000040666"	"protein_coding"	648	48.55
"ENSMUSG00000040667"	"protein_coding"	1612	45.39
"ENSMUSG00000027070"	"protein_coding"	5609	48.15
"ENSMUSG00000027071"	"protein_coding"	1198	50.61
"ENSMUSG00000027072"	"protein_coding"	715	51.65
"ENSMUSG00000027073"	"protein_coding"	838	52.86
"ENSMUSG00000027074"	"protein_coding"	1198	52.08
"ENSMUSG00000027075"	"protein_coding"	2522	54.06
"ENSMUSG00000027076"	"protein_coding"	627	53.36
"ENSMUSG00000051124"	"protein_coding"	1023	43.49
"ENSMUSG00000027078"	"protein_coding"	899	52.98
"ENSMUSG00000027079"	"protein_coding"	1894	46.07
"ENSMUSG00000080645"	"miRNA"	121	42.15
"ENSMUSG00000080648"	"miRNA"	91	36.26
"ENSMUSG00000080649"	"miRNA"	123	33.33
"ENSMUSG00000000861"	"protein_coding"	3222	48.00
"ENSMUSG00000000869"	"protein_coding"	566	43.13
"ENSMUSG00000085039"	"lincRNA"	793	48.09
"ENSMUSG00000085030"	"antisense"	1691	44.88
"ENSMUSG00000085032"	"lincRNA"	1729	39.85
"ENSMUSG00000085033"	"antisense"	397	47.86
"ENSMUSG00000085034"	"lincRNA"	751	40.48
"ENSMUSG00000085035"	"lincRNA"	627	47.53
"ENSMUSG00000085036"	"antisense"	302	37.42
"ENSMUSG00000085037"	"lincRNA"	3847	48.35
"ENSMUSG00000058594"	"protein_coding"	1519	50.49
"ENSMUSG00000084349"	"pseudogene"	1251	51.58
"ENSMUSG00000084348"	"pseudogene"	1553	45.40
"ENSMUSG00000089599"	"rRNA"	126	50.00
"ENSMUSG00000089598"	"snoRNA"	119	33.61
"ENSMUSG00000089593"	"snRNA"	104	39.42
"ENSMUSG00000084340"	"pseudogene"	367	35.69
"ENSMUSG00000084343"	"pseudogene"	670	51.94
"ENSMUSG00000089590"	"snRNA"	63	31.75
"ENSMUSG00000084345"	"pseudogene"	555	47.75
"ENSMUSG00000084344"	"pseudogene"	288	51.39
"ENSMUSG00000089595"	"snRNA"	65	32.31
"ENSMUSG00000084346"	"pseudogene"	1526	48.62
"ENSMUSG00000026301"	"protein_coding"	3210	48.32
"ENSMUSG00000026303"	"protein_coding"	1999	54.60
"ENSMUSG00000026305"	"protein_coding"	2866	50.46
"ENSMUSG00000026304"	"protein_coding"	1117	56.65
"ENSMUSG00000026307"	"protein_coding"	983	54.92
"ENSMUSG00000026309"	"protein_coding"	1368	54.17
"ENSMUSG00000026308"	"protein_coding"	3089	57.33
"ENSMUSG00000057409"	"protein_coding"	2058	38.53
"ENSMUSG00000088418"	"snoRNA"	132	41.67
"ENSMUSG00000061436"	"protein_coding"	3208	51.49
"ENSMUSG00000006398"	"protein_coding"	1190	54.75
"ENSMUSG00000065726"	"snoRNA"	178	49.44
"ENSMUSG00000065727"	"snRNA"	104	41.35
"ENSMUSG00000065725"	"snoRNA"	138	47.10
"ENSMUSG00000065722"	"snRNA"	107	39.25
"ENSMUSG00000089048"	"misc_RNA"	253	47.83
"ENSMUSG00000065721"	"misc_RNA"	112	46.43
"ENSMUSG00000089045"	"snoRNA"	135	56.30
"ENSMUSG00000089044"	"snRNA"	148	44.59
"ENSMUSG00000089047"	"rRNA"	131	39.69
"ENSMUSG00000089046"	"snoRNA"	134	49.25
"ENSMUSG00000089041"	"snoRNA"	136	38.24
"ENSMUSG00000089040"	"misc_RNA"	219	61.19
"ENSMUSG00000065728"	"snoRNA"	131	38.93
"ENSMUSG00000065729"	"snRNA"	105	47.62
"ENSMUSG00000085694"	"antisense"	335	52.24
"ENSMUSG00000085695"	"antisense"	382	39.53
"ENSMUSG00000085696"	"antisense"	1211	47.08
"ENSMUSG00000085690"	"lincRNA"	711	40.93
"ENSMUSG00000094738"	"snRNA"	107	40.19
"ENSMUSG00000085693"	"lincRNA"	469	47.55
"ENSMUSG00000094735"	"protein_coding"	924	42.97
"ENSMUSG00000094734"	"protein_coding"	936	38.25
"ENSMUSG00000094737"	"pseudogene"	844	45.73
"ENSMUSG00000094736"	"pseudogene"	2579	38.86
"ENSMUSG00000085698"	"antisense"	530	54.34
"ENSMUSG00000094730"	"snRNA"	107	42.99
"ENSMUSG00000094733"	"protein_coding"	294	40.82
"ENSMUSG00000094732"	"lincRNA"	536	42.09
"ENSMUSG00000061388"	"protein_coding"	1074	38.74
"ENSMUSG00000083698"	"pseudogene"	706	47.88
"ENSMUSG00000083699"	"pseudogene"	453	37.97
"ENSMUSG00000083696"	"pseudogene"	102	57.84
"ENSMUSG00000083697"	"pseudogene"	991	48.34
"ENSMUSG00000083695"	"pseudogene"	968	49.85
"ENSMUSG00000083692"	"pseudogene"	1339	47.42
"ENSMUSG00000083693"	"pseudogene"	288	45.49
"ENSMUSG00000061387"	"protein_coding"	951	47.32
"ENSMUSG00000046152"	"protein_coding"	2554	49.53
"ENSMUSG00000093964"	"snoRNA"	132	51.52
"ENSMUSG00000093967"	"snRNA"	107	42.99
"ENSMUSG00000093966"	"IG_V_gene"	331	51.66
"ENSMUSG00000093961"	"pseudogene"	1137	46.97
"ENSMUSG00000093960"	"rRNA"	119	57.98
"ENSMUSG00000093963"	"pseudogene"	439	42.14
"ENSMUSG00000093962"	"protein_coding"	1118	49.28
"ENSMUSG00000046159"	"protein_coding"	1770	51.19
"ENSMUSG00000093969"	"IG_V_gene"	331	54.08
"ENSMUSG00000093968"	"protein_coding"	1404	43.38
"ENSMUSG00000020072"	"protein_coding"	2173	51.24
"ENSMUSG00000081278"	"pseudogene"	316	55.38
"ENSMUSG00000081279"	"pseudogene"	834	38.73
"ENSMUSG00000081276"	"pseudogene"	472	48.73
"ENSMUSG00000081277"	"pseudogene"	473	46.30
"ENSMUSG00000081274"	"pseudogene"	438	54.11
"ENSMUSG00000081275"	"pseudogene"	282	53.55
"ENSMUSG00000081272"	"pseudogene"	1308	51.99
"ENSMUSG00000081273"	"pseudogene"	440	45.45
"ENSMUSG00000081270"	"pseudogene"	1009	44.20
"ENSMUSG00000081271"	"pseudogene"	157	36.94
"ENSMUSG00000063623"	"protein_coding"	2372	47.34
"ENSMUSG00000085968"	"antisense"	241	55.60
"ENSMUSG00000085969"	"antisense"	856	40.42
"ENSMUSG00000085966"	"pseudogene"	415	38.31
"ENSMUSG00000085967"	"antisense"	1759	48.78
"ENSMUSG00000085965"	"processed_transcript"	388	48.97
"ENSMUSG00000085962"	"lincRNA"	627	48.50
"ENSMUSG00000085963"	"pseudogene"	424	36.79
"ENSMUSG00000085961"	"antisense"	487	49.28
"ENSMUSG00000070683"	"lincRNA"	2583	60.50
"ENSMUSG00000002297"	"protein_coding"	1871	40.97
"ENSMUSG00000008892"	"protein_coding"	1421	45.73
"ENSMUSG00000064090"	"protein_coding"	1459	44.12
"ENSMUSG00000088312"	"snRNA"	106	39.62
"ENSMUSG00000088313"	"snoRNA"	116	46.55
"ENSMUSG00000088310"	"snoRNA"	139	56.12
"ENSMUSG00000088311"	"snoRNA"	131	52.67
"ENSMUSG00000083524"	"pseudogene"	448	37.28
"ENSMUSG00000088317"	"misc_RNA"	266	51.13
"ENSMUSG00000088314"	"snoRNA"	125	46.40
"ENSMUSG00000083527"	"pseudogene"	913	34.72
"ENSMUSG00000083528"	"pseudogene"	241	48.96
"ENSMUSG00000083529"	"pseudogene"	1562	45.39
"ENSMUSG00000088318"	"snRNA"	101	37.62
"ENSMUSG00000016510"	"protein_coding"	1701	52.45
"ENSMUSG00000078087"	"protein_coding"	496	52.82
"ENSMUSG00000078080"	"protein_coding"	1030	43.01
"ENSMUSG00000095062"	"protein_coding"	1062	40.58
"ENSMUSG00000095063"	"protein_coding"	925	38.81
"ENSMUSG00000095060"	"snoRNA"	94	45.74
"ENSMUSG00000095061"	"protein_coding"	1015	48.87
"ENSMUSG00000095066"	"protein_coding"	425	51.06
"ENSMUSG00000095067"	"protein_coding"	684	46.20
"ENSMUSG00000095064"	"protein_coding"	924	42.53
"ENSMUSG00000095065"	"pseudogene"	714	42.02
"ENSMUSG00000095068"	"snRNA"	107	44.86
"ENSMUSG00000095069"	"miRNA"	121	49.59
"ENSMUSG00000053898"	"protein_coding"	770	53.77
"ENSMUSG00000053897"	"protein_coding"	3399	45.14
"ENSMUSG00000053896"	"protein_coding"	925	46.29
"ENSMUSG00000054325"	"protein_coding"	545	54.68
"ENSMUSG00000054320"	"protein_coding"	1358	50.35
"ENSMUSG00000054321"	"protein_coding"	5149	45.74
"ENSMUSG00000010911"	"protein_coding"	634	47.23
"ENSMUSG00000051940"	"protein_coding"	2995	43.07
"ENSMUSG00000092773"	"misc_RNA"	297	62.63
"ENSMUSG00000092772"	"miRNA"	71	60.56
"ENSMUSG00000092771"	"misc_RNA"	263	49.81
"ENSMUSG00000092770"	"miRNA"	96	45.83
"ENSMUSG00000092777"	"miRNA"	71	33.80
"ENSMUSG00000092776"	"miRNA"	101	24.75
"ENSMUSG00000092775"	"misc_RNA"	281	53.02
"ENSMUSG00000092774"	"rRNA"	115	54.78
"ENSMUSG00000092779"	"miRNA"	83	54.22
"ENSMUSG00000092778"	"miRNA"	82	30.49
"ENSMUSG00000096603"	"protein_coding"	3833	52.26
"ENSMUSG00000096602"	"miRNA"	97	35.05
"ENSMUSG00000096601"	"protein_coding"	924	43.29
"ENSMUSG00000096600"	"IG_V_gene"	308	44.16
"ENSMUSG00000096607"	"protein_coding"	1161	51.42
"ENSMUSG00000096606"	"protein_coding"	3037	62.03
"ENSMUSG00000096605"	"snoRNA"	79	44.30
"ENSMUSG00000096604"	"snoRNA"	94	44.68
"ENSMUSG00000087058"	"antisense"	523	49.90
"ENSMUSG00000096609"	"protein_coding"	491	60.29
"ENSMUSG00000096608"	"protein_coding"	627	44.34
"ENSMUSG00000087059"	"antisense"	626	68.83
"ENSMUSG00000037617"	"protein_coding"	3419	48.80
"ENSMUSG00000037610"	"protein_coding"	2812	40.64
"ENSMUSG00000037613"	"protein_coding"	2414	46.93
"ENSMUSG00000048197"	"protein_coding"	957	39.92
"ENSMUSG00000039728"	"protein_coding"	4766	51.17
"ENSMUSG00000039725"	"protein_coding"	1361	56.28
"ENSMUSG00000039720"	"protein_coding"	1355	50.18
"ENSMUSG00000079064"	"protein_coding"	321	40.81
"ENSMUSG00000079065"	"protein_coding"	5181	40.46
"ENSMUSG00000079067"	"pseudogene"	279	51.61
"ENSMUSG00000079061"	"protein_coding"	120	40.83
"ENSMUSG00000079069"	"protein_coding"	639	50.08
"ENSMUSG00000023210"	"protein_coding"	839	46.84
"ENSMUSG00000067017"	"pseudogene"	2858	42.27
"ENSMUSG00000015733"	"protein_coding"	1342	40.11
"ENSMUSG00000067010"	"protein_coding"	3220	39.06
"ENSMUSG00000054814"	"protein_coding"	2031	45.97
"ENSMUSG00000090236"	"protein_coding"	1283	55.49
"ENSMUSG00000031518"	"protein_coding"	1057	42.19
"ENSMUSG00000031519"	"protein_coding"	1579	41.23
"ENSMUSG00000090607"	"pseudogene"	289	43.94
"ENSMUSG00000064263"	"protein_coding"	641	50.70
"ENSMUSG00000090603"	"pseudogene"	456	44.30
"ENSMUSG00000090602"	"protein_coding"	819	42.49
"ENSMUSG00000031510"	"lincRNA"	2439	51.91
"ENSMUSG00000031511"	"protein_coding"	3778	51.52
"ENSMUSG00000031512"	"protein_coding"	570	50.66
"ENSMUSG00000031513"	"protein_coding"	2879	47.66
"ENSMUSG00000090608"	"processed_transcript"	2022	45.40
"ENSMUSG00000031516"	"protein_coding"	800	49.86
"ENSMUSG00000031517"	"protein_coding"	3336	39.42
"ENSMUSG00000012429"	"protein_coding"	2672	41.50
"ENSMUSG00000062148"	"protein_coding"	803	46.29
"ENSMUSG00000068923"	"protein_coding"	3383	48.12
"ENSMUSG00000062142"	"protein_coding"	945	48.15
"ENSMUSG00000082163"	"pseudogene"	657	52.36
"ENSMUSG00000068921"	"protein_coding"	1120	53.46
"ENSMUSG00000056418"	"protein_coding"	1651	50.27
"ENSMUSG00000091952"	"pseudogene"	1095	48.33
"ENSMUSG00000091950"	"polymorphic_pseudogene"	1050	41.05
"ENSMUSG00000091956"	"protein_coding"	1326	68.93
"ENSMUSG00000056413"	"protein_coding"	1459	57.41
"ENSMUSG00000091954"	"antisense"	394	54.06
"ENSMUSG00000091955"	"protein_coding"	485	51.34
"ENSMUSG00000022160"	"protein_coding"	1067	48.73
"ENSMUSG00000038135"	"protein_coding"	494	59.42
"ENSMUSG00000038132"	"protein_coding"	3215	51.45
"ENSMUSG00000036986"	"protein_coding"	2165	56.29
"ENSMUSG00000036985"	"protein_coding"	2097	51.09
"ENSMUSG00000036983"	"protein_coding"	1327	45.06
"ENSMUSG00000036980"	"protein_coding"	1695	54.39
"ENSMUSG00000036989"	"protein_coding"	1398	57.88
"ENSMUSG00000064844"	"snoRNA"	65	41.54
"ENSMUSG00000064845"	"snRNA"	114	42.11
"ENSMUSG00000064840"	"snRNA"	107	42.99
"ENSMUSG00000064841"	"snoRNA"	134	60.45
"ENSMUSG00000064842"	"snRNA"	110	36.36
"ENSMUSG00000064843"	"snRNA"	104	47.12
"ENSMUSG00000063810"	"protein_coding"	9986	45.15
"ENSMUSG00000063816"	"protein_coding"	506	48.42
"ENSMUSG00000096422"	"IG_V_gene"	347	47.55
"ENSMUSG00000096421"	"protein_coding"	363	62.26
"ENSMUSG00000072812"	"protein_coding"	4247	61.39
"ENSMUSG00000072813"	"protein_coding"	2118	45.28
"ENSMUSG00000072814"	"protein_coding"	1185	47.48
"ENSMUSG00000033773"	"protein_coding"	1729	46.78
"ENSMUSG00000070084"	"miRNA"	128	63.28
"ENSMUSG00000070081"	"miRNA"	90	47.78
"ENSMUSG00000070080"	"miRNA"	91	60.44
"ENSMUSG00000012282"	"protein_coding"	1746	55.38
"ENSMUSG00000011884"	"protein_coding"	1166	56.82
"ENSMUSG00000082436"	"pseudogene"	308	50.65
"ENSMUSG00000013483"	"protein_coding"	3661	56.89
"ENSMUSG00000035984"	"protein_coding"	720	45.24
"ENSMUSG00000062859"	"protein_coding"	1241	59.90
"ENSMUSG00000028156"	"protein_coding"	2882	40.28
"ENSMUSG00000028152"	"protein_coding"	1389	48.91
"ENSMUSG00000028150"	"protein_coding"	2211	53.00
"ENSMUSG00000028158"	"protein_coding"	4117	45.82
"ENSMUSG00000028159"	"protein_coding"	1641	47.79
"ENSMUSG00000039269"	"protein_coding"	1368	57.68
"ENSMUSG00000039262"	"protein_coding"	3421	57.39
"ENSMUSG00000039263"	"protein_coding"	1465	56.75
"ENSMUSG00000039264"	"protein_coding"	906	54.97
"ENSMUSG00000039358"	"protein_coding"	2802	53.28
"ENSMUSG00000068289"	"protein_coding"	947	49.63
"ENSMUSG00000068284"	"protein_coding"	6693	49.02
"ENSMUSG00000039356"	"protein_coding"	831	52.97
"ENSMUSG00000039357"	"protein_coding"	3344	49.16
"ENSMUSG00000043673"	"protein_coding"	2901	46.59
"ENSMUSG00000018707"	"protein_coding"	2321	53.52
"ENSMUSG00000071084"	"protein_coding"	972	44.75
"ENSMUSG00000021532"	"protein_coding"	2362	48.69
"ENSMUSG00000060565"	"protein_coding"	3441	45.66
"ENSMUSG00000021537"	"protein_coding"	999	34.73
"ENSMUSG00000021536"	"protein_coding"	4211	52.20
"ENSMUSG00000021534"	"protein_coding"	1808	46.29
